User,Gesture Type,RandomIteration,#ofTrainingExamples,TotalSizeOfTrainingSet,Training Set Contents,Candidate,RecoResult,Correct or Incorrect,RecoResultScore,RecoResultBestMatch,RecoResultNBestSorted
s07,delete_mark,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",delete_mark-s07-E10,delete_mark,1,0.871,delete_mark-s07-E1,"{'delete_mark-s07-E1': 0.8714375491086865, 'v-s07-E1': 0.540598022132573, 'x-s07-E1': 0.49017473594637095, 'right_sq_bracket-s07-E1': 0.47452199124776395, 'caret-s07-E1': 0.4573827658585683, 'star-s07-E1': 0.43765722405368046, 'triangle-s07-E1': 0.4184853385110987, 'rectangle-s07-E1': 0.41837524818931004, 'right_curly_brace-s07-E1': 0.4174258823226479, 'check-s07-E1': 0.4157621602034608, 'pigtail-s07-E1': 0.4051884948058817, 'left_curly_brace-s07-E1': 0.35471873343833027, 'arrow-s07-E1': 0.33547383564804845, 'left_sq_bracket-s07-E1': 0.33000551701982195, 'circle-s07-E1': 0.27060477344189626, 'question_mark-s07-E1': 0.2139852722550526}"
s07,caret,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",caret-s07-E4,caret,1,0.933,caret-s07-E1,"{'caret-s07-E1': 0.9327846338130824, 'arrow-s07-E1': 0.6885975153772448, 'pigtail-s07-E1': 0.6763635401809714, 'check-s07-E1': 0.6190142876367393, 'question_mark-s07-E1': 0.5525187683911081, 'delete_mark-s07-E1': 0.5308104936899803, 'left_sq_bracket-s07-E1': 0.388650296931359, 'v-s07-E1': 0.373363226449579, 'left_curly_brace-s07-E1': 0.36796291539308745, 'star-s07-E1': 0.3674753791692914, 'rectangle-s07-E1': 0.3051111633985544, 'x-s07-E1': 0.27362240794565473, 'triangle-s07-E1': 0.2441520830080095, 'circle-s07-E1': 0.14697865921866426, 'right_curly_brace-s07-E1': 0.10247417143077375, 'right_sq_bracket-s07-E1': 0.020194223748865925}"
s07,left_curly_brace,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",left_curly_brace-s07-E9,left_curly_brace,1,0.85,left_curly_brace-s07-E1,"{'left_curly_brace-s07-E1': 0.8501541089574064, 'left_sq_bracket-s07-E1': 0.7431921693489969, 'right_curly_brace-s07-E1': 0.5951709083076081, 'right_sq_bracket-s07-E1': 0.5519737928402871, 'triangle-s07-E1': 0.5265993681111516, 'circle-s07-E1': 0.4777149148815193, 'x-s07-E1': 0.4211744712385863, 'arrow-s07-E1': 0.38657374543187784, 'star-s07-E1': 0.37011323990565115, 'delete_mark-s07-E1': 0.3445093990374497, 'question_mark-s07-E1': 0.344334051390371, 'check-s07-E1': 0.33053145117883387, 'v-s07-E1': 0.2745040475517443, 'caret-s07-E1': 0.2722841451196606, 'pigtail-s07-E1': 0.26898686574909747, 'rectangle-s07-E1': 0.12788738091948781}"
s07,left_sq_bracket,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",left_sq_bracket-s07-E3,left_sq_bracket,1,0.959,left_sq_bracket-s07-E1,"{'left_sq_bracket-s07-E1': 0.9593311633508137, 'left_curly_brace-s07-E1': 0.8342601704757376, 'right_curly_brace-s07-E1': 0.6334554933448109, 'circle-s07-E1': 0.5863574147326065, 'right_sq_bracket-s07-E1': 0.562576807314303, 'triangle-s07-E1': 0.5127377850235417, 'arrow-s07-E1': 0.47415141274574435, 'check-s07-E1': 0.4388535084646985, 'x-s07-E1': 0.3792095544598112, 'caret-s07-E1': 0.3607598225044536, 'star-s07-E1': 0.3151121347480551, 'pigtail-s07-E1': 0.298341774231901, 'delete_mark-s07-E1': 0.28836348854309135, 'question_mark-s07-E1': 0.20188874478711072, 'rectangle-s07-E1': 0.16441019180747263, 'v-s07-E1': 0.09353798048353879}"
s07,v,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",v-s07-E2,v,1,0.959,v-s07-E1,"{'v-s07-E1': 0.958834011711724, 'rectangle-s07-E1': 0.7283147047177981, 'check-s07-E1': 0.5889133547695855, 'triangle-s07-E1': 0.5467623252345339, 'delete_mark-s07-E1': 0.5112017532483955, 'x-s07-E1': 0.49313289947892214, 'pigtail-s07-E1': 0.39990460635367486, 'star-s07-E1': 0.3993523405391257, 'right_curly_brace-s07-E1': 0.39646937497853163, 'caret-s07-E1': 0.39431069025278276, 'arrow-s07-E1': 0.3558017629143684, 'right_sq_bracket-s07-E1': 0.34976711707256336, 'circle-s07-E1': 0.30673796785579854, 'question_mark-s07-E1': 0.27792555743232106, 'left_curly_brace-s07-E1': 0.15768648511069727, 'left_sq_bracket-s07-E1': 0.054474863136117824}"
s07,right_curly_brace,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",right_curly_brace-s07-E9,right_curly_brace,1,0.922,right_curly_brace-s07-E1,"{'right_curly_brace-s07-E1': 0.9221366792887727, 'right_sq_bracket-s07-E1': 0.8197797983310207, 'left_curly_brace-s07-E1': 0.6146050650330788, 'left_sq_bracket-s07-E1': 0.6139003977398195, 'triangle-s07-E1': 0.4527380638002718, 'x-s07-E1': 0.4011835720465309, 'v-s07-E1': 0.3973238717606511, 'circle-s07-E1': 0.38973962828648434, 'question_mark-s07-E1': 0.3673904332899216, 'delete_mark-s07-E1': 0.3450717726128065, 'pigtail-s07-E1': 0.2526374078105953, 'star-s07-E1': 0.23756011147792522, 'check-s07-E1': 0.19936541581829337, 'rectangle-s07-E1': 0.19153187464090105, 'arrow-s07-E1': 0.16837534173707458, 'caret-s07-E1': 0.09514340235136354}"
s07,star,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",star-s07-E6,star,1,0.883,star-s07-E1,"{'star-s07-E1': 0.8832529564984436, 'arrow-s07-E1': 0.43757776988189745, 'question_mark-s07-E1': 0.42314321263741883, 'delete_mark-s07-E1': 0.40483600941730913, 'pigtail-s07-E1': 0.3963860044986879, 'v-s07-E1': 0.3806028077964586, 'x-s07-E1': 0.37360375190422, 'check-s07-E1': 0.37112971098938585, 'caret-s07-E1': 0.3551707809101696, 'triangle-s07-E1': 0.3326958570111802, 'rectangle-s07-E1': 0.3198343741697257, 'left_curly_brace-s07-E1': 0.31111527658952254, 'right_sq_bracket-s07-E1': 0.308970738362525, 'right_curly_brace-s07-E1': 0.3081495564751723, 'left_sq_bracket-s07-E1': 0.3054058809467961, 'circle-s07-E1': 0.2030815754873756}"
s07,triangle,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",triangle-s07-E10,triangle,1,0.934,triangle-s07-E1,"{'triangle-s07-E1': 0.9337100568131655, 'circle-s07-E1': 0.7770929135855953, 'v-s07-E1': 0.5784617266271568, 'left_curly_brace-s07-E1': 0.49026944468262756, 'pigtail-s07-E1': 0.47901103863334316, 'left_sq_bracket-s07-E1': 0.47465063778517347, 'right_curly_brace-s07-E1': 0.4081317619896806, 'delete_mark-s07-E1': 0.39647418373038057, 'question_mark-s07-E1': 0.3666161301977636, 'right_sq_bracket-s07-E1': 0.36198644414945114, 'star-s07-E1': 0.32618181940515933, 'caret-s07-E1': 0.275453211374166, 'arrow-s07-E1': 0.2372542400765556, 'rectangle-s07-E1': 0.1982693802753046, 'x-s07-E1': 0.19619423277762693, 'check-s07-E1': 0.13654979682841972}"
s07,arrow,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",arrow-s07-E4,arrow,1,0.82,arrow-s07-E1,"{'arrow-s07-E1': 0.8203874663120725, 'pigtail-s07-E1': 0.6969198080351151, 'caret-s07-E1': 0.6657315115620752, 'check-s07-E1': 0.5490223774925702, 'left_curly_brace-s07-E1': 0.47031233733345323, 'question_mark-s07-E1': 0.46740854234647733, 'star-s07-E1': 0.46187199618133623, 'left_sq_bracket-s07-E1': 0.4525273111602588, 'delete_mark-s07-E1': 0.43248257453590544, 'triangle-s07-E1': 0.3664327950883831, 'v-s07-E1': 0.3215934556780915, 'rectangle-s07-E1': 0.2951249457636975, 'x-s07-E1': 0.2766700437282039, 'circle-s07-E1': 0.27665326561975934, 'right_curly_brace-s07-E1': 0.22165156953312526, 'right_sq_bracket-s07-E1': 0.13407717751586856}"
s07,rectangle,1,1,16,"['delete_mark-s07-E1', 'caret-s07-E1', 'left_curly_brace-s07-E1', 'left_sq_bracket-s07-E1', 'v-s07-E1', 'right_curly_brace-s07-E1', 'star-s07-E1', 'triangle-s07-E1', 'arrow-s07-E1', 'rectangle-s07-E1', 'x-s07-E1', 'right_sq_bracket-s07-E1', 'circle-s07-E1', 'question_mark-s07-E1', 'pigtail-s07-E1', 'check-s07-E1']",rectangle-s07-E6,rectangle,1,0.979,rectangle-s07-E1,"{'rectangle-s07-E1': 0.9794309826184213, 'v-s07-E1': 0.7329099543784747, 'x-s07-E1': 0.6179082457689936, 'check-s07-E1': 0.5478527787738823, 'arrow-s07-E1': 0.42071221616545296, 'delete_mark-s07-E1': 0.35600006143620044, 'star-s07-E1': 0.3338225825839326, 'caret-s07-E1': 0.26160755131882574, 'question_mark-s07-E1': 0.24955620104643184, 'right_sq_bracket-s07-E1': 0.24636246628318015, 'triangle-s07-E1': 0.21281113120864414, 'pigtail-s07-E1': 0.20938593559822583, 'left_sq_bracket-s07-E1': 0.2022414298225763, 'right_curly_brace-s07-E1': 0.1863517114272516, 'left_curly_brace-s07-E1': 0.18052497760036956, 'circle-s07-E1': -0.07820617867654311}"
